NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY	GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY	Details ...	190	0.40653017	1.5340405	0.007889546	1.0	0.922	4521	tags=35%, list=22%, signal=44%	
GO_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY	GO_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY	Details ...	394	0.4076722	1.5271696	0.0	1.0	0.927	4521	tags=37%, list=22%, signal=46%	
GO_ARF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GO_ARF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	Details ...	23	0.47854593	1.5025835	0.025145067	1.0	0.954	2124	tags=26%, list=10%, signal=29%	
GO_LYSINE_ACETYLATED_HISTONE_BINDING	GO_LYSINE_ACETYLATED_HISTONE_BINDING	Details ...	16	0.61719775	1.4682057	0.040076334	1.0	0.985	2675	tags=44%, list=13%, signal=50%	
GO_PHOSPHOLIPID_TRANSLOCATING_ATPASE_ACTIVITY	GO_PHOSPHOLIPID_TRANSLOCATING_ATPASE_ACTIVITY	Details ...	16	0.66122836	1.455286	0.030592734	1.0	0.991	2439	tags=38%, list=12%, signal=43%	
GO_3_5_EXONUCLEASE_ACTIVITY	GO_3_5_EXONUCLEASE_ACTIVITY	Details ...	45	0.5847914	1.4470001	0.02471483	1.0	0.992	3945	tags=47%, list=19%, signal=58%	
GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	Details ...	76	0.5859631	1.4397764	0.06844106	1.0	0.994	4470	tags=51%, list=22%, signal=66%	
GO_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_PROTEASE_ACTIVITY	GO_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_PROTEASE_ACTIVITY	Details ...	93	0.5597323	1.4349825	0.02534113	1.0	0.997	3583	tags=47%, list=18%, signal=57%	
GO_ANDROGEN_RECEPTOR_BINDING	GO_ANDROGEN_RECEPTOR_BINDING	Details ...	39	0.5454652	1.4349477	0.01934236	1.0	0.997	3864	tags=46%, list=19%, signal=57%	
GO_RIBONUCLEOPROTEIN_COMPLEX_BINDING	GO_RIBONUCLEOPROTEIN_COMPLEX_BINDING	Details ...	85	0.5782165	1.4295266	0.07456979	1.0	0.997	4227	tags=51%, list=21%, signal=64%	
GO_ATPASE_ACTIVITY_COUPLED	GO_ATPASE_ACTIVITY_COUPLED	Details ...	297	0.5496101	1.4163278	0.011857707	1.0	0.997	4448	tags=45%, list=22%, signal=57%	
GO_STEROID_HORMONE_RECEPTOR_BINDING	GO_STEROID_HORMONE_RECEPTOR_BINDING	Details ...	79	0.43165404	1.4134264	0.038986355	1.0	0.997	3864	tags=34%, list=19%, signal=42%	
GO_KINESIN_BINDING	GO_KINESIN_BINDING	Details ...	28	0.5080595	1.4091277	0.051923078	1.0	0.997	3682	tags=36%, list=18%, signal=44%	
GO_NUCLEOCYTOPLASMIC_TRANSPORTER_ACTIVITY	GO_NUCLEOCYTOPLASMIC_TRANSPORTER_ACTIVITY	Details ...	22	0.7451845	1.4081907	0.011560693	1.0	0.997	3437	tags=64%, list=17%, signal=76%	
